id,homeTeam,awayTeam,spread_pick,ml_pick,ou_pick,spread_conf,ou_conf,ml_conf,predicted_margin,predicted_total
401773592,Western Oregon,Central Washington,No line,No line,No line,,,0.10672554,1.0672554,49.50127
401752771,Tennessee,New Mexico State,New Mexico State +39.5,No line,Under,2.716724395751953,8.79269790649414,3.6783276,36.783276,51.707302
401754596,Wake Forest,North Carolina,North Carolina +5.5,North Carolina ML (180.0),Over,6.730990171432495,7.9792938232421875,0.123099014,-1.2309902,47.479294
401767103,Portland State,Montana,No line,No line,No line,,,0.20362854,2.0362854,49.50127
401767488,Stephen F. Austin,Lamar,No line,No line,No line,,,0.20927139,2.0927138,50.969456
401767366,Mississippi Valley State,Alabama State,No line,No line,No line,,,0.035225403,0.35225403,49.3468
401773544,West Texas A&M,Angelo State,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401757301,Florida International,Liberty,Liberty -2.5,No value,Over,0.6411887407302856,3.2243385314941406,0.18588112,-1.8588113,54.72434
401767466,East Texas A&M,Houston Christian,No line,No line,No line,,,0.19861059,1.9861059,50.1479
401767087,Idaho State,Weber State,No line,No line,No line,,,0.10672554,1.0672554,49.50127
401761650,Georgia Southern,Coastal Carolina,Georgia Southern -3.5,Georgia Southern ML (-170.0),Under,5.692749977111816,8.420951843261719,0.919275,9.19275,52.07905
401767290,Tarleton State,North Alabama,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401767495,McNeese,UT Rio Grande Valley,No line,No line,No line,,,0.17565261,1.7565261,50.47588
401752769,Ole Miss,Florida,Florida +12.5,No value,Over,6.416068077087402,2.8877601623535156,0.6083932,6.083932,56.38776
401752902,Washington,Purdue,Purdue +15.5,No value,No value,1.6514549255371094,0.7027206420898438,1.3848546,13.848545,50.79728
401760414,UNLV,Utah State,UNLV -6.5,UNLV ML (-215.0),Under,7.166383743286133,13.673110961914062,1.3666384,13.666384,53.82689
401757300,Sam Houston,Delaware,Delaware -10.0,No value,Over,1.687565803527832,2.2211380004882812,0.8312434,-8.312434,58.721138
401756949,Baylor,Utah,Utah -8.5,No value,Under,6.60209858417511,4.833930969238281,0.18979014,-1.8979014,55.66607
401752900,Ohio State,UCLA,Ohio State -31.5,No value,No value,1.2004776000976562,1.1658515930175781,3.2700477,32.700478,46.33415
401752766,Georgia,Texas,Texas +6.5,Texas ML (195.0),No value,7.040569722652435,1.6445274353027344,0.054056972,-0.5405697,51.144527
401754594,Florida State,Virginia Tech,Virginia Tech +14.5,No value,Under,8.39306116104126,3.8923721313476562,0.6106939,6.106939,51.607628
401752770,Missouri,Mississippi State,Missouri -6.5,Missouri ML (-250.0),Under,10.282054901123047,3.6676063537597656,1.6782055,16.782055,47.832394
401773578,UT Permian Basin,Sul Ross State,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401757302,Jacksonville State,Kennesaw State,Kennesaw State -3.0,Jacksonville State ML (136.0),Under,17.330045700073242,4.386837005615234,1.4330046,14.330046,52.113163
401767296,Southern Utah,Central Arkansas,No line,No line,No line,,,0.15304326,1.5304326,46.7935
401767096,Sacramento State,Idaho,No line,No line,No line,,,0.01920576,0.1920576,48.48073
401752953,Washington State,Louisiana Tech,Louisiana Tech +8.5,Louisiana Tech ML (260.0),Over,9.034899473190308,9.742851257324219,0.053489946,-0.5348995,53.24285
401756950,BYU,TCU,BYU -3.5,No value,No value,1.5306739807128906,0.6617050170898438,0.5030674,5.030674,52.161705
401760412,Fresno State,Wyoming,Fresno State -3.5,No value,Over,1.6430511474609375,12.56252670288086,0.5143051,5.143051,53.062527
401760410,San Diego State,Boise State,Boise State +1.5,No value,Over,3.413740396499634,11.661808013916016,0.19137403,-1.9137404,53.161808
401767111,Montana State,UC Davis,No line,No line,No line,,,0.08894591,0.88945913,47.69341
